text,address,time,link,price
Tận hưởng mùa hè sôi động với tour du lịch Phú Quốc 3 ngày 2 đêm,https://www.vietnambooking.com/du-lich/tan-huong-mua-he-soi-dong-voi-tour-du-lich-phu-quoc-3-ngay-2-dem.html," ,Khởi Hành : Hà Nội,  7/6, 21/6, 5/7, 19/7, 2/8, 16/8, 31/8/2019",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-phu-quoc-3n2d-29052019-1-300x200.jpg,"6,390,000 "
,,,,
"Tour Tràng An 1 ngày: Chinh Phục Hang Múa, Ngoạn Cảnh Danh Thắng Tràng An",https://www.vietnambooking.com/du-lich/tour-trang-an-1-ngay-gia-re.html," ,Khởi Hành : Hà Nội, Hàng ngày",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-trang-an-1-ngay-27052019-1-300x200.png,"990,000 "
"Tour Lặn Ngắm San Hô Bán Đảo Sơn Trà: Đại Dương Huyền Bí Muôn Màu, Muôn Vẻ",https://www.vietnambooking.com/du-lich/tour-lan-ngam-san-ho-ban-dao-son-tra-tron-goi.html," ,Khởi Hành : Đà Nẵng, Theo yêu cầu",https://www.vietnambooking.com/wp-content/uploads/2019/05/lan-bien-ban-dao-son-tra-25052019-3-300x210.png,"750,000 "
Du lịch Đà Nẵng 4N3Đ | Khám Phá Thiên Đường Biển Miền Trung Lễ Hội Pháo Hoa Quốc Tế 2019,https://www.vietnambooking.com/du-lich/du-lich-da-nang-4n3d-tan-huong-mua-mua-he-y-nghia-o-thien-duong-bien-mien-trung.html," ,Khởi Hành : Hà Nội, Thứ 5 hằng tuần",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-da-nang-le-hoi-phao-hoa-28052019-1-300x200.png,"5,990,000 "
,,,,
Tour Huế Đà Lạt 3N2Đ: Hành trình ý nghĩa từ xứ mộng mơ khám phá xứ ngàn hoa,https://www.vietnambooking.com/du-lich/tour-hue-da-lat-3n2d-gia-re.html," ,Khởi Hành : Huế, Theo yêu cầu",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-hue-dalat-24052019-1-300x199.png,"2,390,000 "
Tour Lý Sơn 2 ngày 1 đêm từ Huế | Cách thiên đường chỉ 1 bước chân,https://www.vietnambooking.com/du-lich/tour-ly-son-2-ngay-1-dem-tu-hue.html," ,Khởi Hành : Huế, Theo yêu cầu",https://www.vietnambooking.com/wp-content/uploads/2019/05/Tour-du-lich-ly-son-2ngay1dem-tu-hue-Vietnam-Booking-300x164.png,"1,890,000 "
Tour du lịch Đà Nẵng – Phú Quốc | Huyền thoại biển xanh,https://www.vietnambooking.com/du-lich/tour-du-lich-da-nang-phu-quoc.html," ,Khởi Hành : Đà Nẵng, Hàng tuần",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-du-lich-phu-quoc-tu-da-nang-300x203.png,"2,150,000 "
"Tour Du Lịch Phú Quốc 2 Ngày 1 Đêm – Hành Trình Khám Phá Đông Đảo, Nam Đảo",https://www.vietnambooking.com/du-lich/tour-du-lich-phu-quoc-2-ngay-1-dem-hanh-trinh-kham-pha-dong-dao-nam-dao.html," ,Khởi Hành : Phú Quốc, Theo yêu cầu",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-phu-quoc-2n1d-22052019-1-300x194.jpg,Liên hệ
Tour du lịch đồng bằng sông Mekong | Tiền Giang – Cần Thơ – Cà Mau – Sóc Trăng- Bạc Liêu,https://www.vietnambooking.com/du-lich/tour-du-lich-dong-bang-song-mekong-tien-giang-can-tho-ca-mau-soc-trang-bac-lieu.html," ,Khởi Hành : Hồ Chí Minh, Thứ 7 hàng tuần",https://www.vietnambooking.com/wp-content/uploads/2019/05/cu-lao-long-lan-quy-phung-my-tho-ben-tre-300x208.jpg,"4,350,000 "
"Tour Nha Trang – Điệp Sơn | Con đường xuyên biển, viên ngọc quý Vịnh Vân Phong",https://www.vietnambooking.com/du-lich/tour-nha-trang-diep-son.html," ,Khởi Hành : Hồ Chí Minh, Thứ 5 hàng tuần",https://www.vietnambooking.com/wp-content/uploads/2019/05/Tour-Diep-Son-Nha-Trang-300x211.png,"2,886,000 "
TOUR QUY NHƠN – PHÚ YÊN 3N2Đ TỪ TP.HCM | TRẢI NGHIỆM VẺ ĐẸP GÀNH ĐÁ ĐĨA – BÃI ĐÁ TRỨNG – ĐỒI CÁT NHƠN LÝ,https://www.vietnambooking.com/du-lich/tour-quy-nhon-phu-yen-3n2d-tu-tp-hcm.html," ,Khởi Hành : Hồ Chí Minh, Theo yêu cầu",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-quy-nhon-phu-yen-09052019-1-300x194.jpg,"2,750,000 "
"Tour Ninh Bình – Hạ Long 3 ngày 2 đêm trọn gói, tiết kiệm | Khám phá vẻ đẹp di sản thiên nhiên Việt Nam",https://www.vietnambooking.com/du-lich/tour-ninh-binh-ha-long-3-ngay-2-dem-tron-goi-tiet-kiem-kham-pha-ve-dep-di-san-thien-nhien-viet-nam.html," ,Khởi Hành : Hà Nội, Hàng ngày",https://www.vietnambooking.com/wp-content/uploads/2019/05/tour-ninh-binh-ha-long-02052019-1-300x194.jpg,"2,990,000 "
Tour Cam Ranh Nha Trang | Vinpearl Land | Trải nghiệm Tứ Đảo mới lạ,https://www.vietnambooking.com/du-lich/tour-cam-ranh-nha-trang.html," ,Khởi Hành : Hồ Chí Minh, Thứ 5 hàng tuần",https://www.vietnambooking.com/wp-content/uploads/2019/05/tou-du-lich-cam-ranh-nha-trang-300x224.png,"2,290,000 "
Tour Mai Châu – Mộc Châu 2 ngày 1 đêm các mùa hoa | Tham quan Thác Dải Yếm – Happy Land – Đồi chè trái tim – Thung lũng Mai Châu,https://www.vietnambooking.com/du-lich/tour-mai-chau-moc-chau-2-ngay-1-dem-cac-mua-hoa.html," ,Khởi Hành : Hà Nội, Thứ 7 hàng tuần",https://www.vietnambooking.com/wp-content/uploads/2019/04/tour-mai-chau-moc-chau-29042019-1-300x194.jpg,"1,270,000 "
"Tour Sapa 2 ngày 1 đêm ở khách sạn 3 sao, giá tiết kiệm – Chinh phục đỉnh Fansipan | Khám phá thị trấn sương mù Sapa | Bản Cát Cát",https://www.vietnambooking.com/du-lich/tour-sapa-2-ngay-1-dem-o-khach-san-3-sao-gia-tiet-kiem.html," ,Khởi Hành : Hà Nội, Thứ 7 hàng tuần (Giá tour không áp dụng Lễ, Tết)",https://www.vietnambooking.com/wp-content/uploads/2019/04/tour-sapa-2n1d-29042019-2-300x194.jpg,"2,190,000 "
,,,,
